width,serial_time,parallel_time
1,0.000070,0.000000
2,0.000029,0.000000
3,0.000213,0.000001
4,0.000336,0.000000
5,0.000556,0.000000
6,0.000648,0.000000
7,0.000800,0.000000
8,0.000951,0.000000
9,0.001112,0.000000
10,0.001287,0.000001
11,0.001409,0.000000
12,0.001618,0.000000
13,0.003811,0.000001
14,0.004022,0.000001
15,0.005307,0.000001
16,0.004729,0.000001
17,0.005254,0.000001
18,0.005346,0.000001
19,0.005682,0.000001
20,0.006304,0.000001
21,0.003950,0.000001
22,0.003960,0.000001
23,0.003956,0.000001
24,0.003901,0.000000
25,0.003893,0.000000
26,0.004115,0.000001
27,0.004131,0.000000
28,0.007331,0.000000
29,0.007905,0.000000
30,0.005852,0.000001
31,0.005338,0.000000
32,0.005466,0.000000
33,0.010594,0.000001
34,0.006119,0.000001
35,0.006011,0.000000
36,0.006082,0.000001
37,0.007030,0.000000
38,0.006463,0.000000
39,0.006391,0.000001
40,0.007433,0.000001
41,0.008660,0.000000
42,0.007701,0.000001
43,0.007398,0.000000
44,0.007210,0.000000
45,0.008911,0.000001
46,0.007772,0.000000
47,0.007984,0.000000
48,0.007567,0.000000
49,0.015652,0.000000
50,0.014779,0.000005
51,0.015514,0.000001
52,0.015393,0.000000
53,0.007336,0.000000
54,0.007144,0.000000
55,0.007191,0.000000
56,0.007223,0.000000
57,0.011434,0.000000
58,0.009567,0.000000
59,0.010453,0.000000
60,0.012216,0.000000
61,0.010097,0.000001
62,0.010098,0.000001
63,0.011849,0.000001
64,0.010418,0.000000
65,0.012739,0.000001
66,0.013366,0.000000
67,0.014035,0.000000
68,0.013145,0.000000
69,0.015784,0.000001
70,0.014314,0.000001
71,0.013251,0.000000
72,0.012687,0.000000
73,0.014531,0.000000
74,0.013054,0.000001
75,0.012100,0.000001
76,0.020581,0.000000
77,0.020029,0.000001
78,0.015944,0.000000
79,0.017033,0.000001
80,0.020387,0.000001
81,0.019258,0.000000
82,0.016320,0.000001
83,0.022109,0.000000
84,0.021155,0.000000
85,0.011850,0.000000
86,0.019725,0.000001
87,0.017732,0.000001
88,0.015434,0.000000
89,0.017287,0.000001
90,0.015243,0.000000
91,0.019458,0.000000
92,0.015480,0.000000
93,0.017593,0.000000
94,0.013313,0.000001
95,0.022057,0.000000
96,0.027820,0.000001
97,0.022712,0.000001
98,0.016235,0.000000
99,0.017388,0.000000
100,0.016606,0.000001
101,0.017195,0.000000
102,0.023663,0.000001
103,0.016905,0.000000
104,0.020191,0.000000
105,0.018683,0.000001
106,0.018974,0.000001
107,0.020175,0.000000
108,0.018921,0.000000
109,0.020533,0.000000
110,0.021576,0.000001
111,0.020935,0.000001
112,0.018266,0.000000
113,0.022774,0.000000
114,0.021732,0.000000
115,0.020541,0.000001
116,0.026452,0.000000
117,0.018803,0.000001
118,0.024968,0.000000
119,0.029634,0.000001
120,0.029467,0.000001
121,0.028681,0.000000
122,0.026793,0.000000
123,0.024089,0.000000
124,0.032541,0.000001
125,0.026363,0.000001
126,0.026802,0.000001
127,0.026945,0.000000
128,0.035522,0.000001
129,0.024720,0.000000
130,0.025047,0.000000
131,0.027113,0.000000
132,0.032096,0.000001
133,0.032982,0.000001
134,0.028803,0.000000
135,0.032285,0.000000
136,0.027655,0.000001
137,0.028852,0.000000
138,0.032328,0.000001
139,0.032491,0.000001
140,0.038794,0.000001
141,0.044679,0.000000
142,0.043118,0.000001
143,0.019517,0.000001
144,0.025077,0.000001
145,0.029345,0.000000
146,0.030819,0.000000
147,0.027683,0.000000
148,0.030158,0.000000
149,0.038693,0.000000
150,0.032611,0.000001
151,0.027771,0.000000
152,0.028119,0.000000
153,0.031443,0.000001
154,0.030951,0.000001
155,0.030730,0.000000
156,0.035943,0.000001
157,0.035555,0.000000
158,0.029197,0.000000
159,0.037390,0.000000
160,0.039417,0.000000
161,0.033710,0.000000
162,0.032801,0.000001
163,0.044904,0.000000
164,0.036715,0.000001
165,0.039734,0.000000
166,0.037605,0.000001
167,0.045949,0.000001
168,0.038684,0.000001
169,0.038247,0.000000
170,0.038307,0.000001
171,0.034885,0.000001
172,0.031538,0.000000
173,0.045395,0.000000
174,0.034661,0.000001
175,0.039198,0.000000
176,0.032840,0.000000
177,0.034652,0.000001
178,0.041354,0.000000
179,0.028427,0.000001
180,0.031716,0.000000
181,0.048660,0.000001
182,0.060952,0.000001
183,0.044724,0.000000
184,0.032692,0.000000
185,0.036015,0.000000
186,0.038873,0.000000
187,0.034976,0.000001
188,0.033329,0.000001
189,0.057360,0.000001
190,0.046647,0.000001
191,0.039003,0.000000
192,0.041513,0.000000
193,0.043013,0.000000
194,0.054085,0.000001
195,0.050480,0.000001
196,0.031198,0.000001
197,0.038202,0.000000
198,0.038239,0.000001
199,0.038721,0.000000
200,0.037593,0.000000
201,0.035442,0.000000
202,0.041674,0.000000
203,0.041361,0.000000
204,0.046531,0.000001
205,0.042478,0.000001
206,0.057880,0.000000
207,0.063949,0.000000
208,0.040322,0.000000
209,0.052183,0.000000
210,0.044275,0.000001
211,0.042968,0.000000
212,0.042693,0.000001
213,0.039733,0.000001
214,0.037839,0.000001
215,0.052482,0.000000
216,0.049009,0.000001
217,0.054400,0.000000
218,0.049865,0.000001
219,0.070143,0.000000
220,0.050882,0.000001
221,0.045034,0.000000
222,0.039086,0.000001
223,0.040919,0.000000
224,0.045733,0.000000
225,0.053695,0.000001
226,0.040346,0.000000
227,0.038852,0.000001
228,0.046582,0.000001
229,0.049222,0.000001
230,0.037965,0.000000
231,0.054269,0.000000
232,0.050509,0.000001
233,0.062311,0.000000
234,0.053928,0.000000
235,0.055260,0.000000
236,0.047384,0.000000
237,0.056305,0.000000
238,0.057263,0.000000
239,0.049987,0.000001
240,0.054256,0.000000
241,0.049788,0.000000
242,0.054724,0.000001
243,0.047122,0.000000
244,0.049941,0.000001
245,0.040866,0.000000
246,0.053454,0.000001
247,0.052614,0.000001
248,0.045561,0.000000
249,0.057396,0.000000
250,0.052332,0.000001
251,0.047567,0.000001
252,0.054335,0.000000
253,0.056816,0.000000
254,0.046884,0.000001
255,0.042123,0.000001
256,0.053781,0.000001
257,0.044532,0.000000
258,0.056321,0.000001
259,0.041708,0.000001
260,0.046426,0.000001
261,0.051676,0.000000
