width,serial_time,parallel_time
1,0.001169,0.000997
2,0.001081,0.000714
3,0.001718,0.002039
4,0.002834,0.002148
5,0.003135,0.002516
6,0.004001,0.003687
7,0.004946,0.004395
8,0.005707,0.004519
9,0.006373,0.005365
10,0.006706,0.005755
11,0.007477,0.006195
12,0.008014,0.006307
13,0.008844,0.007079
14,0.009567,0.007483
15,0.009606,0.007887
16,0.010243,0.008384
17,0.011001,0.009455
18,0.011473,0.009584
19,0.012306,0.009754
20,0.012900,0.010280
21,0.013527,0.010989
22,0.014308,0.011329
23,0.015080,0.012142
24,0.015513,0.012803
25,0.016161,0.012992
26,0.016994,0.013551
27,0.017724,0.013981
28,0.018796,0.014370
29,0.018900,0.014979
30,0.019126,0.015364
31,0.019218,0.015840
32,0.020145,0.016397
33,0.020676,0.016871
34,0.021482,0.017644
35,0.022405,0.018804
36,0.022842,0.018888
37,0.023670,0.019050
38,0.024223,0.019073
39,0.025071,0.019618
40,0.025856,0.020239
41,0.026311,0.020950
42,0.026939,0.021575
43,0.027630,0.021973
44,0.028420,0.022395
45,0.028562,0.022968
46,0.029078,0.023527
47,0.029799,0.023980
48,0.030451,0.024468
49,0.031130,0.025090
50,0.031761,0.025333
51,0.032731,0.026346
52,0.033302,0.026634
53,0.033828,0.027241
54,0.034466,0.028051
55,0.035235,0.028387
56,0.036039,0.028773
57,0.037011,0.028871
58,0.037634,0.029147
59,0.038111,0.029796
60,0.038224,0.030496
61,0.038253,0.030976
62,0.038855,0.031439
63,0.039616,0.031768
64,0.040306,0.032340
65,0.041069,0.032881
66,0.041779,0.033346
67,0.042453,0.033955
68,0.043169,0.034684
69,0.043689,0.035119
70,0.044459,0.035660
71,0.045438,0.036502
72,0.046133,0.037109
73,0.046850,0.037639
74,0.047363,0.037983
75,0.047543,0.037984
76,0.047781,0.038178
77,0.048222,0.038500
78,0.049155,0.038851
79,0.049651,0.039537
80,0.050482,0.040277
81,0.050911,0.040632
82,0.051753,0.041203
83,0.052416,0.041921
84,0.053120,0.042206
85,0.053593,0.042826
86,0.054526,0.043456
87,0.055341,0.044193
88,0.056297,0.044583
89,0.056647,0.044861
90,0.057025,0.045517
91,0.057422,0.045842
92,0.057659,0.046372
93,0.058269,0.046874
94,0.059213,0.047434
95,0.059831,0.047808
96,0.060460,0.048226
97,0.061077,0.048744
98,0.061943,0.049303
99,0.062573,0.049959
100,0.063445,0.050480
101,0.063921,0.050961
102,0.064825,0.051442
103,0.065827,0.052152
104,0.066516,0.052557
105,0.066785,0.053232
106,0.067063,0.053685
107,0.067326,0.053943
108,0.067980,0.054431
109,0.068817,0.055060
110,0.069426,0.055308
111,0.069819,0.056195
112,0.070468,0.056634
113,0.071308,0.056917
114,0.072099,0.057306
115,0.072520,0.057799
116,0.073434,0.058036
117,0.074259,0.058896
118,0.074964,0.059334
119,0.075765,0.060000
120,0.076118,0.060471
121,0.076404,0.060831
122,0.076663,0.061256
123,0.077076,0.061955
124,0.077738,0.062288
125,0.078661,0.062766
126,0.079433,0.063305
127,0.080063,0.063760
128,0.080745,0.064293
129,0.081289,0.064647
130,0.082025,0.065260
131,0.082836,0.065918
132,0.083679,0.066488
133,0.084077,0.066690
134,0.084930,0.067023
135,0.085791,0.067747
136,0.085874,0.068228
137,0.086550,0.068692
138,0.087128,0.069400
139,0.087970,0.069763
140,0.088244,0.070341
141,0.089122,0.070629
142,0.089778,0.071304
143,0.090270,0.071853
144,0.091203,0.072183
145,0.091554,0.072815
146,0.092133,0.073501
147,0.093369,0.074125
148,0.093988,0.074704
149,0.094751,0.075171
150,0.095402,0.075767
151,0.095491,0.076215
152,0.095919,0.076261
153,0.096306,0.076570
154,0.096990,0.077132
155,0.097947,0.077630
156,0.098673,0.078279
157,0.099167,0.078840
158,0.099804,0.079243
159,0.100504,0.079730
160,0.101221,0.080358
161,0.101799,0.080798
162,0.102509,0.081235
163,0.103533,0.082081
164,0.103924,0.082609
165,0.104789,0.082926
166,0.105270,0.083498
167,0.105752,0.084374
168,0.106466,0.084751
169,0.107078,0.085185
170,0.107778,0.085447
171,0.108455,0.085972
172,0.109000,0.086325
173,0.109749,0.086658
174,0.110443,0.087226
175,0.110841,0.087816
176,0.111623,0.088278
177,0.112296,0.088725
178,0.113030,0.089245
179,0.113632,0.090040
180,0.114558,0.090681
181,0.114815,0.090976
182,0.115306,0.091551
183,0.115908,0.092284
184,0.116276,0.092686
185,0.117181,0.093304
186,0.117781,0.093845
187,0.118650,0.094176
188,0.119551,0.094587
189,0.119792,0.095024
190,0.120275,0.095434
191,0.121149,0.095871
192,0.121829,0.096102
193,0.122611,0.096735
